SKU,Item code,Name,Category,pa_høyde-(cm),pa_bredde-(cm),pa_kjedelengde-(cm),Price,Total Price USD,Image,Tags,Description,,,
2294,"N001 18""-400",Ertekjede i sølv,Kjeder og Anheng,,,45.5,510,2.94972067,3591.jpg|3596.jpg,"kjede,ertekjede,sterling sølv",,,,
2295,"N002 18 ""-650",Hjerteformet kabelkjede i sølv,Kjeder og Anheng,,,45.5,490,3.67150838,3520.jpg|3523.jpg,"kabelkjede,sterling sølv,hjerte",,,,
2296,"N004 18""-550",Tvunnet halskjede i sølv,Kjeder og Anheng,,,45.5,565,4.90726257,3526.jpg|3527.jpg,"kjede,sterling sølv,tvunnet kjede",,,,
2297,"N010 16""-280",Hjerteformet kabelkjede i sølv,Kjeder og Anheng,,,40.5,595,2.145251397,3514.jpg|3515.jpg|3519.jpg,"kabelkjede,sterling sølv,hjerte",,,,
2298,"N010 18""-550",Hjerteformet kabelkjede i sølv,Kjeder og Anheng,,0.2,45.5,510,2.912849162,3516.jpg|3517.jpg|3518.jpg,"kabelkjede,sterling sølv",,,,
2299,"N011 050c 16""- 850",Tvunnet halskjede i sølv,Kjeder og Anheng,,,40.5,565,3.544134078,3637.jpg|3640.jpg,"ankerkjede,sterling sølv",,,,
2300,"N011 050c 18""-900",Tvunnet halskjede i sølv,Kjeder og Anheng,,,45.5,565,4.280223464,3645.jpg|3647.jpg|3648.jpg,"ankerkjede,sterling sølv",,,,
2301,"N012 040c 16""-450",Marine kjede i sølv,Kjeder og Anheng,,,40.5,575,2.493854749,3534.jpg,"kjede,sterling sølv,marine",,,,
2302,"N012 050c 16""-750",Marine kjede i sølv,Kjeder og Anheng,,,40.5,565,3.421452514,3535.jpg,"kjede,sterling sølv",,,,
2303,N019 22c  -210     ,Tvunnet halskjede i sølv,Kjeder og Anheng,,0.22,45.5,490,4.145251397,3536.jpg|3541.jpg,"kjede,sterling sølv,tvunnet kjede",,,,
2304,N019 30 c- 250        ,Tvunnet sølvkjede,Kjeder og Anheng,,,45.5,575,1.648715084,3739.jpg,"kjede,sterling sølv,tvunnet kjede",,,,
2305,N019 40c-510,Tvunnet halskjede i sølv,Kjeder og Anheng,,,45.5,490,4.180782123,3542.jpg|3543.jpg,"kjede,sterling sølv,tvunnet kjede",,,,
2306,N019 40c-570,Tvunnet halskjede i sølv,Kjeder og Anheng,,,51,490,4.204469274,3598.jpg|3601.jpg,"kjede,sterling sølv,tvunnet kjede",,,,
2307,"N026 022C  18""-500",Veneziakjede i sølv,Kjeder og Anheng,,,45.5,510,3.687150838,3585.jpg|3588.jpg,"kjede,veneziakjede,sterling sølv",,,,
2308,"N031 022C  16""-500",Tvunnet halskjede i sølv,Kjeder og Anheng,,0.22,40.5,565,3.830391061,3580.jpg|3583.jpg,"kjede,sterling sølv",,,,
2309,"N031 022C  18""-550",Tvunnet halskjede i sølv,Kjeder og Anheng,,0.22,45.5,565,4.348379888,3548.jpg|3549.jpg,"kjede,sterling sølv",,,,
2310,"N031 030C  16""-600",Tvinnet halskjede i sølv,Kjeder og Anheng,,0.3,40.5,565,3.857653631,3500.jpg|3501.jpg|3503.jpg,"kjede,sterling sølv",,,,
2311,"N031 030C  18""-700",Tvinnet halskjede i sølv,Kjeder og Anheng,,0.3,45.5,565,4.375642458,3500.jpg|3501.jpg|3503.jpg,"kjede,sterling sølv",,,,
2312,"N031 050C  18""-1800",Tvunnet halskjede i sølv,Kjeder og Anheng,,0.3,45.5,500,11.94636872,3630.jpg|3633.jpg|3635.jpg,"kjede,sterling sølv",,,,
2313,"N031 050C  20""-2000",Tvunnet halskjede i sølv,Kjeder og Anheng,,0.5,51,530,11.97318436,3611.jpg|3614.jpg,"kjede,sterling sølv",,,,
2314,"N044 3MM 20""-2500",Panserkjede i sølv,Kjeder og Anheng,,3,51,455,6.241340782,3506.jpg|3507.jpg,"kjede,panserkjeder,sterling sølv",,,,
2315,"N044 4MM   18""-1950",Panserkjede i sølv,Kjeder og Anheng,,,45.5,455,13.46815642,3672.jpg|3677.jpg,"kjede,panserkjede,sterling sølv",Anheng i sølv med Onyz-sten og zirkoner,,,
2316,"N045 4MM 22""-1100",Panserkjede i sølv,Kjeder og Anheng,,,56,465,6.703910615,3604.jpg|3608.jpg,"kjede,panserkjede,sterling sølv",,,,
2317,"N048   18""-2000",Rørformet kjede i sølv,Kjeder og Anheng,,,45.5,480,14.64134078,3701.jpg|3702.jpg,"kjede,slangekjede,sterling sølv",,,,
2318,"N059-060c 18""-760",Marine kjede i sølv,Kjeder og Anheng,,,45.5,480,20.03307263,3529.jpg|3530.jpg|3533.jpg,"kjede,sterling sølv,mariner",Sølvanheng med rubin omkranset av zirkoner,,,
